Campaign,CWSAC Reference #,Date(s),Description,Estimated Casualties,Forces Engaged,Location,Other Names,Preservation Priority,Principal Commanders,Result(s),"

On April 30, Confederate Brig. Gen. Nathan Bedford Forrests brigade caught
up with Streights expedition and attacked its rearguard at Days Gap on
Sand Mountain. The Federals repulsed this attack and continued their march
to avoid further delay and envelopment. Thus began a running series of
skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April
30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blounts Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.

", ,"
CWSAC Reference #","
Preservation Priority","
Result(s)","
Results(s)","

Location","

Date(s)","

Campaign",Battles Associated with the Operations,"   

Sherman first found Johnston's army entrenched in the Marietta area on June 9.  The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains.  Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnston withdrew to an arc-shaped position centered on Kennesaw Mountain on June 18 and 19. Sherman made some unsuccessful attacks on this position but eventually extended the line on his right and forced Johnston to withdrawal from the Marietta area on July 2-3.


"
" Longstreet�s Tidewater Operations (February-May 1863)


"," VA030

"," April 13-15, 1863

"," In cooperation with D.H. Hills advance on Washington,
North Carolina, Lt. Gen. James Longstreet with Hoods and Picketts divisions
besieged the Union garrison at Suffolk commanded by Brig. Gen. John Peck.
The Union works were formidable and manned by 25,000 men, opposed to Longstreets
20,000. On April 13, the Confederate troops pushed their left flank to
the Nansemond River and constructed a battery on Hills Point, which closed
off the garrison to Union shipping.  On April 14, Union gunboats attempted
to run the batteries at the Norfleet House slightly upstream, but Mount
Washington was crippled. The Federals, at the same time, constructed batteries
to command the Confederate works at Norfleet House. On April 15, these
batteries were unmasked and opened fire, driving the Confederates out of
this important position.

"," (1,160 entire siege)


"," Divisions  (45,000 total)

"," Suffolk

"," Norfleet House Battery


"," IV.1 (Class C)
"," Brig. Gen. John Peck [US]; Lt. Gen. James Longstreet
[CS]
","  Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Appomattox Campaign (March-April 1865)

"," VA090

"," April 2, 1865

"," Union columns converged on Petersburg on April 2. part Mile's force struck north from White Oak Road meeting elements of four Confederate brigades (Cooke, Scales, MacRae, McGowan) attempting to defend the South Side Railroad. The Confedeerates placed their left flank on Ocran Methodist Church, where it was overun by three Union brigades commanded by Miles. The Confederate defenders were scattered and driven northwestward. With this victory, the Federals possessed the South Side Railroad, Gen. Robert E. Lee's last supply line into Petersburg. 

"," 970 total (US 370; CS 600)

"," Divisions

"," Dinwiddie

"," None

"," II.3 (Class C)
"," Maj. Gen. Nelson A. Miles [US]; Maj. Gen. Henry
Heth and Maj. Gen. Cadmus Wilcox [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Bermuda Hundred Campaign (May-June 1864)

"," VA050

","  May 9, 1864


"," On May 9, Maj. Gen. Benjamin Butler made a thrust toward
Petersburg and was met by Bushrod Johnson�s Division at Swift Creek. A
premature Confederate attack at Arrowfield Church was driven back with
heavy losses, but Union forces did not follow up. After skirmishing, Butler
seemed content to tear up the railroad tracks and did not press the defenders.
In conjunction with the advance to Swift Creek, five Federal gunboats steamed
up the Appomattox River to bombard Fort Clifton, while Hinckss U.S. Colored
Troops infantry division struggled through marshy ground from the land
side. The gunboats were quickly driven off, and the infantry attack was
abandoned.

"," 990 total

"," Divisions

"," Chesterfield County

"," Arrowfield Church


"," II.3 (Class C)
"," Maj. Gen. Benjamin Butler [US]; Gen. P.G.T. Beauregard


"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Northern Virginia Campaign (June-September 1862)
"," VA025

"," August 28, 1862
"," After skirmishing near Chapmans Mill in Thoroughfare Gap,
Brig. Gen. James Rickettss Union division was flanked by a Confederate
column passing through Hopewell Gap several miles to the north and by troops
securing the high ground at Thoroughfare Gap.  Ricketts retired, and
Longstreets wing of the army marched through the gap to join Jackson.
This seemingly inconsequential action virtually ensured Popes defeat during
the battles of Aug. 29-30 because it allowed the two wings of Lees army
to unite on the Manassas battlefield. Ricketts withdrew via Gainesville
to Manassas Junction.
"," 100 total

"," Divisions
","  Fauquier County and Prince William County

"," Chapman�s Mill
"," III.3 (Class C)
"," Brig. Gen. James Ricketts [US]; Lt. Gen. James
Longstreet [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Sheridans Shenandoah Valley Campaign (August-December 1864)

"," VA121

"," October 9, 1864

"," After his victory at Fishers Hill, Maj. Gen. Philip Sheridan
pursued Earlys army up the Shenandoah Valley to near Staunton. On October
6, Sheridan began withdrawing, as his cavalry burned everything that could
be deemed of military significance,  including barns and mills. Reinforced
by Kershaws division, Early followed. Maj. Gen. Thomas Rosser arrived
from Petersburg to take command of Fitz Lees cavalry division and harassed
the retreating Federals. On October 9, Torberts troopers turned on their
pursuers, routing the divisions of Rosser and Lomax at Toms Brook. With
this victory, the Union cavalry attained overwhelming superiority in the
Valley.

"," 407 total (US 57; CS 350)

"," 9,800 total (US 6,300; CS 3,500)

"," Shenandoah County

"," Woodstock Races


"," II.3 (Class C)
"," Brig. Gen. Alfred Torbert [US]; Maj. Gen. Thomas
Rosser [CS]

"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Grant�s Overland Campaign (May-June 1864)

"," VA057

"," May 28-30, 1864

"," Operations along Totopotomoy Creek opened with cavalry
combats at the Pamunkey River crossing at Dabneys Ferry (Hanovertown)
and at Crumps Creek on May 27. During the cavalry fight at Haws Shop
on May 28, Union and Confederate infantry arrived in the vicinity. The
Confederates entrenched behind Totopotomoy Creek. On the 29th, the Union
II, IX, and V Corps probed Lees position along the creek, while the VI
Corps felt its way toward Hanover Court House. Early on the 30th, the VI
Corps turned south to come in on the far right flank of the Union line
(II Corps) but bogged down in swampy Crumps Creek without getting into
position. The II Corps forced a crossing of Totopotomoy Creek in two places,
capturing the first line of Confederate trenches, but the advance was stopped
at the main line. The IX Corps maneuvered into position on the left of
the II Corps, driving back Confederate pickets on the Shady Grove Road. 
In the meantime, the V Corps, moving near Bethesda Church on the far left
flank of the Union army, was attacked by Earlys corps.  The Federals
were driven back to Shady Grove Road after heavy fighting. Confederate
Brig. Gen. George Doles was killed by a sharpshooter near Bethesda Church
on June 2.

"," 2,200 total (US 1,100; CS 1,100)


"," Corps

"," Hanover County

"," Bethesda Church, Crumps Creek, Matadequin Creek, Shady
Grove Road, Hanovertown

"," IV.1 (Class B)
"," Lt. Gen. Ulysses S. Grant and Maj. Gen. George
G. Meade [US]; Gen. Robert E. Lee [CS]

"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Grant�s Overland Campaign (May-June 1864)

"," VA099

"," June 11-12, 1864

"," To draw off the Confederate cavalry and open the door for
a general movement to the James River, Maj. Gen. Philip Sheridan mounted
a large-scale cavalry raid into Louisa County, threatening to cut the Virginia
Central Railroad. On June 11, Sheridan with the Greggs and Torberts divisions
attacked Hamptons and Fitzhugh Lees cavalry divisions at Trevilian Station.
Sheridan drove a wedge between the Confederate divisions, throwing them
into confusion. On the 12th, fortunes were reversed. Hampton and Lee dismounted
their troopers and drew a defensive line across the railroad and the road
to Gordonsville. From this advantageous position, they beat back several
determined dismounted assaults. Sheridan withdrew after destroying about
six miles of the Virginia Central Railroad. Confederate victory at Trevilian
prevented Sheridan from reaching Charlottesville and cooperating with Hunters
army in the Valley. This was one of the bloodiest cavalry battles of the
war.
"," 1,600 total

"," Divisions


"," Louisa County

"," Trevilians
"," II.2 (Class B)
"," Maj. Gen. Philip Sheridan [US]; Maj. Gen. Wade
Hampton  [CS]


"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Gettysburg Campaign (June-August 1863)

"," VA038

"," June 21, 1863

","  On June 21, Union cavalry made a determined effort to pierce
Stuart�s cavalry screen. Hamptons and Robertsons brigades made a stand
at Goose Creek, west of Middleburg, and beat back Greggs division. Bufords
column detoured to attack the Confederate left flank near Upperville but
encountered William E. Grumble  Joness and John R. Chamblisss
brigades while J.I. Greggs and Kilpatricks brigades advanced on the Upperville
from the east along the Little River Turnpike. After furious mounted fighting,
Stuart withdrew to take a strong defensive position in Ashby Gap, even
as Confederate infantry crossed the Potomac into Maryland. As cavalry skirmishing
diminished, Stuart made the fateful decision to strike east and make a
circuit of the Union army as it marched toward Gettysburg.


"," 400 total

"," Divisions

"," Loudoun County

"," None

"," III.3 (Class C)
"," Maj. Gen. Alfred Pleasonton [US]; Brig. Gen. Wade
Hampton and Brig. Gen. Beverly Robertson [CS]

"," Inconclusive

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Kilpatrick-Dahlgren Raid (February-March 1864)

"," VA125

"," March 2, 1864

"," On February 28, Brig. Gen. Judson Kilpatrick left his encampment
at Stevensburg with 4,000 picked men to raid Richmond. Col. Ulric Dahlgren,
son of Rear Adm. John Dahlgren, commanded an advance force of 500 men.
While the main body under Kilpatrick rode along the Virginia Central Railroad
tearing up track, Dahlgren rode south to the James River, hoping to cross
over, penetrate Richmond�s defenses from the rear, and release Union prisoners
at Belle Isle. Kilpatrick reached the outskirts of Richmond on March 1
and skirmished before the citys defenses, waiting for Dahlgren to rejoin
the main column. Dahlgren, however, was delayed, and Kilpatrick was forced
to withdraw with Confederate cavalry in pursuit. Hampton attacked Kilpatrick
near Old Church on the 2nd, but the Federals found refuge with elements
of Butlers command at New Kent Court House. In the meantime, Dahlgrens
men, unable to penetrate Richmonds defenses, tried to escape pursuit by
riding north of the city. Dahlgrens command became separated, and on March
2 his detachment of about 100 men was ambushed by a detachment of the 9th
Virginia Cavalry and Home Guards in King and Queen County near Walkerton.
Dahlgren was killed and most of his men captured. Papers found on Dahlgrens
body that ordered him to burn Richmond and assassinate President Jefferson
Davis and his cabinet caused a political furor. Southerners accused the
North of initiating a war of extermination. Meade, Kilpatrick, and Lincoln
all disavowed any knowledge of the Dahlgren Papers.


"," Unknown

"," Brigades

"," King and Queen County

"," Mantapike Hill

","III.3 (Class C)
","  Brig. Gen. Judson Kilpatrick and Col. Ulric Dahlgren
[CS]; Maj. Gen. Wade Hampton [CS]

"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Bermuda Hundred Campaign (May-June 1864)

","  VA054

"," May 20, 1864

"," On May 20, Confederate forces under Gen. P.G.T. Beauregard
attacked Butler�s Bermuda Hundred line near Ware Bottom Church. About 10,000
troops were involved in this action.  After driving back Butlers
advanced pickets, the Confederates constructed the Howlett Line, effectively
bottling up the Federals at Bermuda Hundred. Confederate victories at Proctors
Creek and Ware Bottom Church enabled Beauregard to detach strong reinforcements
for Lees army in time for the fighting at Cold Harbor.

"," 1,500 total

","Divisions (10,000 total)
"," Chesterfield County


"," None
"," II.3 (Class C)

"," Maj. Gen. Benjamin Butler [US]; Gen. P.G.T. Beauregard
[CS]
"," Confederate victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Sheridan�s Expedition to Petersburg (February-March 1865)

","VA123

"," March 2, 1865


"," On February 27, Maj. Gen. Philip Sheridan with two cavalry
divisions rode from Winchester up the Shenandoah Valley to Staunton. Turning
east, the Federals encountered the last remnant of Lt. Gen. Jubal Earlys
Valley army at Waynesboro on March 2. After a brief stand-off, a Federal
attack rolled up Earlys right flank and scattered his small force. More
than 1,500 Confederates surrendered. Early and a few of his staff evaded
capture. Sheridan crossed the Blue Ridge to Charlottesville and then raided
south, destroying the James River Canal locks near Goochland Court House.
He joined forces with the Army of the Potomac near Petersburg on March
26 for the opening of the Appomattox Campaign.

"," 1,800 total

","4,100 total (US 2,500; CS 1,600)

"," Augusta County


"," None

"," IV.2 (Class B)
"," Maj. Gen. Philip Sheridan [US]; Lt. Gen. Jubal
Early [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Appomattox Campaign (March-April 1865)

"," VA087

"," March 31, 1865

","On March 30, Lee shifted reinforcements to meet the Federal
movement to turn his right flank, placing Maj. Gen. W.H. Fitzhugh Lees
cavalry divisions at Five Forks and transferring Picketts division from
the Bermuda Hundred front to the extreme right. Warren pushed the V Corps
forward and entrenched a line to cover the Boydton Plank Road from its
intersection with Dabney Mill Road south to Gravelly Run. Ayress division
advanced northwest toward White Oak Road. On March 31, in combination with
Maj. Gen. Philip Sheridans thrust via Dinwiddie Court House, Warren directed
his corps against the Confederate entrenchments along White Oak Road, hoping
to cut Lees communications with Pickett at Five Forks. The Union advance
was stalled by a crushing counterattack directed by Maj. Gen. Bushrod Johnson,
but Warrens position stabilized and his soldiers closed on the road by
days end. This fighting set up the Confederate defeat at Five Forks on
April 1.


"," 2,670 (US 1,870; CS 800)

"," Corps
"," Dinwiddie County

","  Hatcher�s Run, Gravelly Run, Boydton Plank Road, White
Oak Ridge

"," I.3 (Class B)
"," Maj. Gen. G.K. Warren [US]; Gen. Robert
E. Lee and Lt. Gen. Richard H. Anderson [CS]

"," Union gained ground

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
